4,edge_chromium,png,undefined,161.5,12.3,1685,99.8
9,edge_chromium,jpeg,undefined,140.3,10.6,211,86.6
14,edge_chromium,avif,undefined,290.5,9.8,185,222.9
19,edge_chromium,webp,undefined,157.9,10.1,161,87.2
24,edge_chromium,png,undefined,295.6,11.4,2076,233.4
29,edge_chromium,jpeg,undefined,182.4,9.9,289,127.4
34,edge_chromium,avif,undefined,275.8,15.4,252,207.6
39,edge_chromium,webp,undefined,199.6,11.4,276,124.8
44,edge_chromium,png,undefined,163.2,9.6,2122,113.7
49,edge_chromium,jpeg,undefined,211.4,10.1,355,128.6
54,edge_chromium,avif,undefined,157.5,9.3,246,98.1
59,edge_chromium,webp,undefined,160.1,11.3,244,107.5
64,edge_chromium,png,undefined,218,9.4,1936,129.9
69,edge_chromium,jpeg,undefined,319.5,11.4,320,228.4
74,edge_chromium,avif,undefined,184.9,7.3,194,121.2
79,edge_chromium,webp,undefined,312,9.9,276,224.2
84,edge_chromium,png,undefined,314.4,11.3,2183,227.3
89,edge_chromium,jpeg,undefined,209.4,8.9,277,124.5
94,edge_chromium,avif,undefined,166.7,9.8,214,111.6
99,edge_chromium,webp,undefined,202,11,269,118.6
104,edge_chromium,png,undefined,281.8,10.5,1919,221.4
108,edge_chromium,jpeg,undefined,200.3,10.4,311,120.7
113,edge_chromium,avif,undefined,275.7,14.4,232,212.6
118,edge_chromium,webp,undefined,188.9,10.2,251,112.9
123,edge_chromium,png,undefined,180.4,10.1,2013,108.5
128,edge_chromium,jpeg,undefined,219.7,8.8,247,132.7
133,edge_chromium,avif,undefined,167.4,9.1,249,111.9
138,edge_chromium,webp,undefined,192.3,11.4,206,115.1
143,edge_chromium,png,undefined,176,9,1917,96.2
147,edge_chromium,jpeg,undefined,217.5,7.4,318,149
152,edge_chromium,avif,undefined,173.2,11.6,215,112.3
157,edge_chromium,webp,undefined,157,8.6,233,78.6
162,edge_chromium,png,undefined,178.5,11,2036,119.8
167,edge_chromium,jpeg,undefined,202.7,7.6,388,122.4
172,edge_chromium,avif,undefined,153.2,12.3,240,102.2
177,edge_chromium,webp,undefined,160,9.8,263,82.2
182,edge_chromium,png,undefined,301.3,11.9,1766,216.2
187,edge_chromium,jpeg,undefined,287.5,9,270,226.8
192,edge_chromium,avif,undefined,177.3,12.5,234,115.2
197,edge_chromium,webp,undefined,193.6,8.9,203,132.5
202,edge_chromium,png,undefined,193.1,9.6,2108,131.2
207,edge_chromium,jpeg,undefined,132.5,9.9,265,38.6
212,edge_chromium,avif,undefined,184.7,10.8,223,122.4
217,edge_chromium,webp,undefined,289.2,10.8,201,202.1
222,edge_chromium,png,undefined,117.8,9.1,2279,45.5
227,edge_chromium,jpeg,undefined,221.6,11.3,314,135.3
231,edge_chromium,avif,undefined,493.7,9.3,195,420.2
236,edge_chromium,webp,undefined,311.4,8.2,278,222.9
241,edge_chromium,png,undefined,217,11.7,1858,128
246,edge_chromium,jpeg,undefined,174.1,10,258,91.1
251,edge_chromium,avif,undefined,403.7,10.3,196,345.4
256,edge_chromium,webp,undefined,196.2,10.9,223,116.5
261,edge_chromium,png,undefined,195.1,8.8,1491,119.1
266,edge_chromium,jpeg,undefined,213.3,7.6,217,129.3
271,edge_chromium,avif,undefined,155.4,8.9,206,104.5
276,edge_chromium,webp,undefined,151.8,9.6,171,100.7
281,edge_chromium,png,undefined,192.9,8.2,1708,121.4
286,edge_chromium,jpeg,undefined,186.5,12.7,214,123.3
291,edge_chromium,avif,undefined,171.5,8.8,197,114.1
296,edge_chromium,webp,undefined,129.6,6.9,160,44.6
301,edge_chromium,png,undefined,169.2,10.5,2074,117.2
306,edge_chromium,jpeg,undefined,167,10,299,113
311,edge_chromium,avif,undefined,98.7,10.3,234,39.6
316,edge_chromium,webp,undefined,213.8,11.3,246,127.3
320,edge_chromium,png,undefined,101.2,9.5,2398,23.4
325,edge_chromium,jpeg,undefined,186.6,8.4,331,110.8
330,edge_chromium,avif,undefined,295.9,11.6,218,230.8
335,edge_chromium,webp,undefined,445.9,11.6,282,367.3
340,edge_chromium,png,undefined,175.8,8.5,1712,120.1
345,edge_chromium,jpeg,undefined,183.8,9,229,107.7
350,edge_chromium,avif,undefined,176.3,8.7,253,116.5
355,edge_chromium,webp,undefined,310.3,10.1,182,224.8
360,edge_chromium,png,undefined,169.7,9,1318,115.7
365,edge_chromium,jpeg,undefined,176.8,11,231,122.7
370,edge_chromium,avif,undefined,119.1,15.1,195,44.2
375,edge_chromium,webp,undefined,132.3,10.1,167,43.7
380,edge_chromium,png,undefined,132.2,8.4,1476,79.2
385,edge_chromium,jpeg,undefined,217.4,11.7,209,158.5
390,edge_chromium,avif,undefined,319.6,10.7,193,242.9
395,edge_chromium,webp,undefined,195.9,8.2,157,142.1
400,edge_chromium,png,undefined,91.2,9.3,2028,22.2
405,edge_chromium,jpeg,undefined,166.9,10.3,285,114
410,edge_chromium,avif,undefined,261.4,23.1,260,210.9
415,edge_chromium,webp,undefined,157.7,8.7,225,104.9
420,edge_chromium,png,undefined,135.5,9.7,1914,58.6
425,edge_chromium,jpeg,undefined,232.3,9.4,275,179.8
430,edge_chromium,avif,undefined,172.9,9.8,195,118.8
435,edge_chromium,webp,undefined,152.1,10.8,236,97.2
440,edge_chromium,png,undefined,108.3,8.6,2155,13.9
445,edge_chromium,jpeg,undefined,162.9,13.6,299,74.5
