3,chrome,jpeg,undefined,181.7,18.8,224,98.9
8,chrome,avif,undefined,389.7,14.5,206,291.4
13,chrome,webp,undefined,237,12.8,164,139.9
18,chrome,png,undefined,113.7,7.3,1758,40.3
22,chrome,jpeg,undefined,155.4,10.5,230,55.1
27,chrome,avif,undefined,171.5,10,227,101.7
32,chrome,webp,undefined,162.2,8.7,664,52.8
37,chrome,png,undefined,222.1,9.2,1583,123.6
41,chrome,jpeg,undefined,159.5,7.5,187,62.2
46,chrome,avif,undefined,194.7,37.4,246,81.7
51,chrome,webp,undefined,264.4,10.5,159,162.2
56,chrome,png,undefined,179.7,20.3,1612,71.4
59,chrome,jpeg,undefined,130.6,12.6,200,69.6
64,chrome,avif,undefined,135.2,8.1,186,45.1
69,chrome,webp,undefined,161,14.2,177,64
74,chrome,png,undefined,256.8,9,1832,167.7
78,chrome,jpeg,undefined,138.1,8.7,324,66.3
83,chrome,avif,undefined,284.5,16.2,341,190.1
88,chrome,webp,undefined,157,9,252,68.9
93,chrome,png,undefined,162.4,17,1938,70
97,chrome,jpeg,undefined,166.5,10.9,244,64.3
101,chrome,avif,undefined,255.3,10.9,216,173.2
106,chrome,webp,undefined,233.9,15.3,167,163.9
112,chrome,jpeg,undefined,258,10.1,293,162.1
117,chrome,avif,undefined,111.6,12.6,287,31.2
122,chrome,webp,undefined,276.3,10.4,237,175.8
127,chrome,png,undefined,289.1,13.6,1576,163.5
130,chrome,jpeg,undefined,143.2,7.8,214,57.1
135,chrome,avif,undefined,140.3,17,188,50.5
140,chrome,webp,undefined,262.8,14.8,188,174.2
146,chrome,jpeg,undefined,291.1,11.2,350,175.9
151,chrome,avif,undefined,154.4,6.4,382,67.8
156,chrome,webp,undefined,244.9,9.8,307,146.6
161,chrome,png,undefined,233.3,10.4,1507,163.7
166,chrome,jpeg,undefined,284.7,19.2,230,152
171,chrome,avif,undefined,127.2,12,204,57.9
176,chrome,webp,undefined,149.8,13.7,173,64.2
181,chrome,png,undefined,243.7,17.3,1827,140.2
185,chrome,jpeg,undefined,175,10.9,244,77.8
190,chrome,avif,undefined,158.7,12.5,249,66.3
195,chrome,webp,undefined,150.3,12.8,221,79.1
201,chrome,jpeg,undefined,163.9,15,311,70.9
206,chrome,avif,undefined,145,12.4,301,67
211,chrome,webp,undefined,296.9,12,226,155.6
218,chrome,jpeg,undefined,158.9,6.6,241,62
223,chrome,avif,undefined,185.1,13.8,240,86.9
228,chrome,webp,undefined,158.2,15.9,207,61.2
235,chrome,jpeg,undefined,134.3,19.2,269,57.5
240,chrome,avif,undefined,212.2,12.8,254,145.3
244,chrome,webp,undefined,161.5,9.1,219,66
251,chrome,jpeg,undefined,145.1,7.8,274,41.7
256,chrome,avif,undefined,157,7.1,307,67.7
261,chrome,webp,undefined,169.6,9.6,227,65
267,chrome,jpeg,undefined,175.2,16.9,314,73.1
272,chrome,avif,undefined,170.4,10.4,371,78.2
277,chrome,webp,undefined,164.9,12.9,279,65.8
282,chrome,png,undefined,119.1,9.8,1726,29.7
286,chrome,jpeg,undefined,152.6,8.8,252,77.9
291,chrome,avif,undefined,275.6,10.7,259,170.2
296,chrome,webp,undefined,176.5,15.9,207,78.6
302,chrome,jpeg,undefined,227.1,11.6,428,130.4
307,chrome,avif,undefined,178,11.5,580,73.6
312,chrome,webp,undefined,254,16.6,472,181.7
319,chrome,jpeg,undefined,162.1,9.2,254,52.5
324,chrome,avif,undefined,140,10.6,281,52.7
329,chrome,webp,undefined,254.6,13.6,236,159.1
334,chrome,png,undefined,168.3,16.5,1856,77.2
338,chrome,jpeg,undefined,106.8,6.7,243,20
343,chrome,avif,undefined,173.2,12.5,250,72.6
348,chrome,webp,undefined,160.3,10.5,186,55.2
353,chrome,png,undefined,155.5,12.9,2072,61.9
357,chrome,jpeg,undefined,139.5,8.5,247,58.8
362,chrome,avif,undefined,253.2,20.5,247,161.2
367,chrome,webp,undefined,142,18.8,213,51.1
373,chrome,jpeg,undefined,157.7,8.4,337,63.6
378,chrome,avif,undefined,139.2,16.2,355,63.4
383,chrome,webp,undefined,157.2,12.4,261,61.3
388,chrome,png,undefined,176.1,11,1254,78.1
392,chrome,jpeg,undefined,236,10.9,226,160.9
397,chrome,avif,undefined,279,11.6,205,174.5
402,chrome,webp,undefined,310.4,20.5,197,170.1
407,chrome,png,undefined,153.2,8.2,1846,57.6
410,chrome,jpeg,undefined,224.5,11.5,230,160
415,chrome,avif,undefined,153.6,9.4,234,56.7
420,chrome,webp,undefined,249.8,14,206,134.5
425,chrome,png,undefined,174.6,9.8,1773,64.2
429,chrome,jpeg,undefined,160.5,14.4,236,49
434,chrome,avif,undefined,151,12,225,74.1
439,chrome,webp,undefined,272.7,9.8,178,172.4
445,chrome,jpeg,undefined,340.2,15.1,322,238.4
450,chrome,avif,undefined,164.7,15.8,389,72.7
455,chrome,webp,undefined,168.9,12.2,291,71.7
462,chrome,jpeg,undefined,150.8,12.8,231,72.4
467,chrome,avif,undefined,166.4,14.2,239,64
472,chrome,webp,undefined,158.4,14.8,218,65.5
478,chrome,jpeg,undefined,156.2,11.9,332,66.8
483,chrome,avif,undefined,189.7,11,398,101.2
488,chrome,webp,undefined,178.8,11,303,66.1
496,chrome,jpeg,undefined,278.4,6.8,278,175.6
501,chrome,avif,undefined,159.5,8.9,297,59.4
506,chrome,webp,undefined,155.5,17,253,56.7
